Company,Domain,Role,Topic,Difficulty,Question,Ideal_Approach,Asked_In_BITS
MiQ,Marketing Analytics,Senior Analyst,Technical,Hard,"Find the odd ball out of 8 balls where one is heavier. Minimum weighings?","Answer is 2 weighings. (Weigh 3 vs 3. If equal, weigh remaining 2. If unequal, take heavier group of 3, weigh 1 vs 1).",Yes
Mitigata,Technology / SaaS,Product Management Intern,Behavioral,Medium,"Describe a challenging project and how you overcame obstacles.","STAR method. Focus on product launch or feature challenges.",Yes
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,"How do you handle working with cross-functional teams?","Discuss working with founders, tech, and sales.",Yes
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,"Tell me about a time you used data to solve a business problem.","Example of data guiding a strategic pivot or decision.",Yes
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,"Tell me about yourself.","Entrepreneurial and analytical introduction.",Yes
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.","Focus on impact, user growth, or efficiency metrics.",Yes
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,"What are your long-term career goals in analytics?","Discuss leadership in tech-first insurance or risk management.",Yes
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,"What motivates you to work in the analytics field?","Desire to bring transparency and efficiency to insurance.",Yes
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,"Why MBA?","To gain the business toolkit to scale startups.",Yes
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,"Why are you interested in our company and this role?","Show passion for Mitigata's mission in cyber risk/insurance.",Yes
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,"Why did you choose Business Analytics as your specialization?","To apply data to quantify risk and optimize products.",Yes
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,"Describe a challenging project and how you overcame obstacles.","STAR method. Highlight financial modeling or data integrity challenges.",Yes
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,"How do you handle working with cross-functional teams?","Collaboration with analysts, researchers, and tech teams.",Yes
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,"Tell me about a time you used data to solve a business problem.","Example of using data to assess credit risk or market trends.",Yes
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,"Tell me about yourself.","Focus on finance, risk, and data analysis background.",Yes
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.","Detail complex quantitative projects.",Yes
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,"What are your long-term career goals in analytics?","Aspirations in financial risk analytics or structured finance.",Yes
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,"What motivates you to work in the analytics field?","The intellectual challenge of quantifying financial certainty.",Yes
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,"Why MBA?","To broaden understanding of global financial markets.",Yes
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,"Why are you interested in our company and this role?","Mention Moody's dominance in credit ratings and analytics software.",Yes
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,"Why did you choose Business Analytics as your specialization?","To master the technical skills required for modern finance.",Yes
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,"Describe a challenging project and how you overcame obstacles.","STAR method. Highlight adaptability and research challenges.",Yes
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,"How do you handle working with cross-functional teams?","Working with engineers and medical professionals.",Yes
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,"Tell me about a time you used data to solve a business problem.","Example of market sizing or customer needs analysis.",Yes
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,"Tell me about yourself.","Introduction tailored to medtech/startups.",Yes
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.","Highlight analytical approach to unstructured problems.",Yes
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,"What are your long-term career goals in analytics?","Growth in high-tech manufacturing or healthcare analytics.",Yes
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,"What motivates you to work in the analytics field?","Driving impactful decisions in critical industries like healthcare.",Yes
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,"Why MBA?","To commercialize technical innovations effectively.",Yes
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,"Why are you interested in our company and this role?","Show admiration for Noccarc's pivotal role during COVID and beyond.",Yes
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,"Why did you choose Business Analytics as your specialization?","To bring data rigor to market research and strategy.",Yes
