Company,Domain,Role,Topic,Difficulty,Question,Ideal_Approach,Asked_In_BITS,,,,,Abbott
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,Accenture AIOC
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,Accenture Strategy
Aditya Birla Management Corp.,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,MiQ
EY,Corporate Strategy,Data Analytics Intern,Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,HSBC
EY,Consulting,"Digital Risk, Tech Assurance",Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
EY,Consulting,"Digital Risk, Tech Assurance",Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
EY,Consulting,"Digital Risk, Tech Assurance",Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
EY,Consulting,"Digital Risk, Tech Assurance",Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
EY,Consulting,"Digital Risk, Tech Assurance",Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
EY,Consulting,"Digital Risk, Tech Assurance",Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
EY,Consulting,"Digital Risk, Tech Assurance",Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
EY,Consulting,"Digital Risk, Tech Assurance",Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
EY,Consulting,"Digital Risk, Tech Assurance",Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Guidewire Software,Consulting,"Digital Risk, Tech Assurance",Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Guidewire Software,InsurTech,Product Manager Intern,Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
IDFC First Bank,InsurTech,Product Manager Intern,Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
IDFC First Bank,Financial Services,Market Research Intern,Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Indian Bank,Financial Services,Market Research Intern,Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Indian Bank,Financial Services,Financial Analytics Intern,Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Kyoren Labs,Financial Services,Financial Analytics Intern,Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
LenDen Club,Healthcare,Business Analyst Intern,Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
LenDen Club,FinTech,"Data Science Intern, Marketing Intern, Product Intern",Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
LenDen Club,FinTech,"Data Science Intern, Marketing Intern, Product Intern",Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
LenDen Club,FinTech,"Data Science Intern, Marketing Intern, Product Intern",Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
LenDen Club,FinTech,"Data Science Intern, Marketing Intern, Product Intern",Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
LenDen Club,FinTech,"Data Science Intern, Marketing Intern, Product Intern",Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
LenDen Club,FinTech,"Data Science Intern, Marketing Intern, Product Intern",Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
LenDen Club,FinTech,"Data Science Intern, Marketing Intern, Product Intern",Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
LenDen Club,FinTech,"Data Science Intern, Marketing Intern, Product Intern",Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
LenDen Club,FinTech,"Data Science Intern, Marketing Intern, Product Intern",Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Liquidmind.ai,FinTech,"Data Science Intern, Marketing Intern, Product Intern",Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Liquidmind.ai,Technology / SaaS,Product Management Intern,Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Mitigata,Technology / SaaS,Product Management Intern,Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Yes,,,,,
Moody's Analytics,InsurTech,Founder's Office Intern,Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Noccarc Robotics,Financial Services,Structured Finance,Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,Tell me about a time you used data to solve a business problem.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,Tell me about yourself.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.",Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,What are your long-term career goals in analytics?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,What motivates you to work in the analytics field?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,Why MBA?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,Why are you interested in our company and this role?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,Why did you choose Business Analytics as your specialization?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Raaz App,MedTech,Market Research Intern,Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
Raaz App,Technology / SaaS,Founder's Office Intern,Behavioral,Medium,How do you handle working with cross-functional teams?,Use structured thinking approach. Connect to business value. Show MBA-level strategic understanding and professional communication skills. Quantify impact where possible.,Documented in tracking,,,,,
