Company,Domain,Role,Topic,Difficulty,Question,Ideal_Approach,Asked_In_BITS,
HSBC,Finance,Analyst,Finance,Medium,Explain the Cash Conversion Cycle formula and its interpretation.,Days Inventory Outstanding + Days Sales Outstanding - Days Payable Outstanding.,Yes,
HSBC,Finance,Analyst,Finance,Medium,List the fundamental Principles of Accounting.,"Mention accrual, consistency, prudence, going concern, entity concept.",Yes,
HSBC,Consulting,Analyst,Guesstimate,Medium,Estimate the number of Two-Wheelers sold annually in India.,Population -> Target Segment -> Income Levels -> Replacement vs New Demand.,Yes,
HSBC,General,Analyst,Behavioral,Medium,How do you measure the performance of a team or individual in banking operations context?,"Mention KPIs like accuracy, turnaround time (TAT), customer satisfaction, and error rates.",Yes,
HSBC,Finance,Analyst,Finance,Medium,What metrics indicate effective revenue generation for a bank?,"NIM (Net Interest Margin), Fee-based income, Loan book growth, CASA ratio.",Yes,
HSBC,Product,Analyst,Product Management,Medium,Explain the concept of 'Share of Wallet' in banking.,Percentage of a customer's total spend/assets held with us vs competitors.,Yes,
HSBC,General,Analyst,General Awareness,Medium,What are the key products offered by HSBC?,"Retail Banking, Wealth Management, Commercial Banking, Global Banking & Markets.",Yes,
HSBC,Finance,Analyst,Finance,Medium,What is the difference between Market Risk and Credit Risk?,Market: Losses due to market factor movements. Credit: Default by counterparty.,Yes,
HSBC,Analytics,Analyst,General Awareness,Medium,Is AI a job creator or a job destroyer?,"Discuss automation vs augmentation, new roles created (ML Ops) vs redundant routine tasks.",Yes,
HSBC,Finance,Analyst,Finance,Medium,Differentiate between Systematic and Unsystematic Risk.,Systematic: Market-wide (non-diversifiable). Unsystematic: Company-specific (diversifiable).,Yes,
HSBC,Analytics,Analyst,SQL,Medium,Explain the concept of Binning in SQL.,Using CASE statements to categorize continuous variables into groups.,Yes,
HSBC,Analytics,Analyst,Python,Medium,How do you access the 5th row and 3rd column of a dataframe in Pandas?,"df.iloc[4, 2]",Yes,
HSBC,Analytics,Analyst,Python,Medium,How do you append two dataframes in Python?,"pd.concat([df1, df2]) or df1.append(df2) (deprecated).",Yes,
HSBC,Analytics,Analyst,Python,Medium,What happens to the columns if you join a dataframe with 5 columns and another with 7 columns?,"Depends on join type, generally 5+7 = 12 columns if no overlap/suffix handling.",Yes,
HSBC,Finance,Analyst,Finance,Medium,What are Derivatives in finance?,"Contracts deriving value from underlying assets (Options, Futures, Swaps).",Yes,
HSBC,Finance,Analyst,Finance,Medium,Why is a Mutual Fund called 'Mutual'?,Pooled money from many investors mutually shared for returns/risks.,Yes,
Kyoren Labs,Healthcare,Business Analyst,Strategy,Medium,Situation: How would you approach a new product launch from a data collection and strategy standpoint?,Define KPIs -> Identify Data Sources (Primary/Secondary) -> Set up Tracking (Google Analytics/Mixpanel) -> Feedback Loop strategy.,Yes,
Kyoren Labs,Healthcare,Business Analyst,Strategy,Medium,Develop a pricing strategy for new skin care products using industry analysis.,Competitor Price Benchmarking -> Cost-Plus vs Value-Based Pricing -> Psychology of pricing (premium vs mass market).,Yes,
LenDen Club,Product Management,Product Intern,Technical,Medium,"What are the top 3 features of your most used app, and what improvements would you suggest?","Product Critique Framework: Define the app, user persona, and goal. Analyze features (pros/cons). Suggest metric-driven improvements.",Yes,
LenDen Club,Product Management,Product Intern,Technical,Medium,Identify potential users for this app (apart from you) and how you would solve their problems.,User Segmentation: Demographic/Psychographic. Pain point analysis. Solutioning with feature mapping.,Yes,
LenDen Club,Product Management,Product Intern,Behavioral,Medium,What do you think a Product Manager's day-to-day looks like?,"Mention mix of: Standups, Stakeholder communication (Eng/Design), Data analysis, User research, and Documentation (PRDs).",Yes,
LenDen Club,Digital Marketing,Marketing Intern,Technical,Easy,What is a backlink?,A link from one website to another. Crucial for SEO authority and ranking.,Yes,
LenDen Club,Digital Marketing,Marketing Intern,Technical,Medium,What is SEO and what are some popular tools?,"SEO: Optimizing visibility. Tools: SEMrush, Ahrefs, Google Search Console, Moz.",Yes,
Mitigata,InsurTech,Founder's Office Intern,Strategy,Hard,Design a Go-To-Market (GTM) strategy for a new domain/product.,Target Audience -> Value Proposition -> Channels (Sales/Marketing) -> Pricing -> Launch Timeline -> Metrics (KPIs).,Yes,
Mitigata,InsurTech,Founder's Office Intern,Behavioral,Medium,What do you understand by the responsibilities of a Founder's Office role?,"Cross-functional execution, strategic initiatives, special projects, and being a force multiplier for the founders.",Yes,
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,STAR method. Highlight financial modeling or data integrity challenges.,Yes,
Moody's Analytics,Financial Services,Structured Finance,Behavioral,Medium,Why are you interested in our company and this role?,Mention Moody's dominance in credit ratings and analytics software.,Yes,
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,Why did you choose Business Analytics as your specialization?,To bring data rigor to market research and strategy in critical industries.,Yes,
Noccarc Robotics,MedTech,Market Research Intern,Behavioral,Medium,Describe a challenging project and how you overcame obstacles.,STAR method. Highlight adaptability and research challenges.,Yes,
Raaz App,Technology,Business Analyst,Behavioral,Medium,Tell me about yourself.,Short professional intro focusing on app dynamics and analytics.,Yes,
Raaz App,Technology,Business Analyst,Behavioral,Medium,How do you prioritize features for a mobile app?,"RICE framework (Reach, Impact, Confidence, Effort) or MoSCoW method.",Yes,
Sodexo,Services,Operations Intern,Behavioral,Medium,Why Sodexo?,Focus on their Quality of Life services and global scale.,Yes,
Sodexo,Services,Operations Intern,Behavioral,Medium,Describe a situation where you had to deal with a difficult client.,"Empathy, active listening, and finding a win-win solution.",Yes,
Tata Capital,Financial Services,Financial Analytics,Technical,Medium,Explain SLR (Simple Linear Regression) and Multi-collinearity.,"SLR: Relation between one dependent and independent variable. Multi-collinearity: When independent variables are highly correlated, skewing results (check VIF).",Yes,
Tata Capital,Financial Services,Financial Analytics,Technical,Medium,What are the different types of SQL joins? Explain their significance.,"Inner (matching), Left (all left + matching right), Right (all right + matching left), Full (all), Cross (Cartesian). crucial for combining data tables.",Yes,
Tata Capital,Financial Services,Financial Analytics,Technical,Medium,What is the difference between an NBFC and a Bank?,NBFCs cannot accept demand deposits (checks) and are not part of payment settlement system. Banks are more regulated under Banking Regulation Act.,Yes,
Tata Capital,Financial Services,Financial Analytics,Technical,Medium,Scenario: Identify the top 5 customers who have the maximum debit in a transaction dataset.,"SQL: `SELECT customer_id, SUM(debit_amount) FROM transactions GROUP BY customer_id ORDER BY SUM(debit_amount) DESC LIMIT 5;`",Yes,
Tata Capital,Financial Services,Financial Analytics,Technical,Medium,What is Interest Discount?,Reduction in interest rate offered to preferred customers or during promotions to increase loan uptake.,Yes,
Taurus Mutual Funds,Finance,Equity Research Intern,Technical,Medium,What factors do you consider before investing in a stock?,"Fundamental analysis (P/E ratio, debt, management) and macroeconomic factors.",Yes,
Taurus Mutual Funds,Finance,Equity Research Intern,Behavioral,Medium,Tell me about a time you made a mistake in your analysis.,"Admit the mistake, explain how you fixed it, and what you learned to prevent recurrence.",Yes,
Vodafone-Idea,Telecom,Data Analyst,Behavioral,Medium,How do you explain complex technical concepts to non-technical stakeholders?,"Use analogies, avoid jargon, and focus on business impact.",Yes,
Vodafone-Idea,Telecom,Data Analyst,Technical,Medium,What is Churn Rate and why is it important in Telecom?,Churn = % of customers leaving. Critical because acquiring new customers is costlier than retaining existing ones.,Yes,
MiQ,Marketing Analytics,Senior Analyst,Python,Medium,"Write a Python function to manipulate a dictionary (e.g., merging two dictionaries or sorting by value).","Demonstrate knowledge of dictionary methods (.items(), .get()) and comprehensions.",Yes,
MiQ,Marketing Analytics,Senior Analyst,Python,Easy,What is the difference between 5/2 and 5//2 in Python?,Explain float division (2.5) vs integer/floor division (2).,Yes,
MiQ,Marketing Analytics,Senior Analyst,SQL,Medium,"Explain and demonstrate the use of Window Functions in SQL (e.g., RANK vs DENSE_RANK).",Provide a query example using OVER() clause to solve a ranking or running total problem.,Yes,
MiQ,Marketing Analytics,Senior Analyst,SQL,Hard,Write a SQL query to find top 3 performing campaigns per region.,Use CTE with RANK() PARTITION BY region ORDER BY performance DESC.,Yes,
MiQ,Marketing Analytics,Senior Analyst,Statistics,Medium,How do you calculate Variance? What does it signify in a dataset?,"Explain variance as the average squared deviation from the mean, indicating data spread.",Yes,
MiQ,Marketing Analytics,Senior Analyst,Statistics,Medium,What is Multicollinearity and how does it affect a regression model?,It occurs when independent variables are highly correlated. It makes coefficient estimates unstable. Fix by checking VIF (Variance Inflation Factor).,Yes,
MiQ,Marketing Analytics,Senior Analyst,Behavioral,Medium,Describe a time you had to write code to automate a manual process.,"STAR method. Focus on the tool used (Python/SQL), time saved, and error reduction.",Yes,
MiQ,Marketing Analytics,Senior Analyst,Behavioral,Medium,Logical Reasoning: Find the odd man out from a given series.,Pattern recognition. Explain the logic clearly.,Yes,
MiQ,Marketing Analytics,Senior Analyst,Data Science,Medium,How would you handle missing data in a marketing dataset?,Check mechanism (MCAR/MAR/MNAR). Impute (mean/median/KNN) or drop based on business context.,Yes,
MiQ,Marketing Analytics,Senior Analyst,Product,Hard,Guesstimate: Estimate the annual iPhone sales in China.,Top-down approach: Population -> Target Segment (Income/Age) -> Smartphone Penetration -> iOS Market Share -> Replacement Cycle.,Yes,
MiQ,Marketing Analytics,Senior Analyst,Product,Medium,Product Case: How would you improve the engagement of a music streaming app?,"Clarify goal -> User Segments -> Pain Points -> Solutions (Social features, Curated playlists) -> Metrics (DAU, Time Spent).",Yes,
MiQ,Marketing Analytics,Senior Analyst,Behavioral,Medium,Walk me through your resume. Why MiQ?,Connect past analytics projects to MiQ's programmatic advertising focus.,Yes,
MiQ,Marketing Analytics,Senior Analyst,Behavioral,Medium,Describe a situation where you had a conflict with a team member.,"Focus on professional disagreement, listening to their side, and finding a data-driven resolution.",Yes,
MiQ,Marketing Analytics,Senior Analyst,Behavioral,Medium,What are your strengths and weaknesses?,Strength: Analytical rigor / Visual storytelling. Weakness: Public speaking (but working on it).,Yes,
MiQ,Marketing Analytics,Senior Analyst,Statistics,Easy,Explain P-value to a non-technical stakeholder.,Probability of seeing these results just by random chance. Low p-value (<0.05) means 'unlikely to be a fluke'.,Yes,
MiQ,Marketing Analytics,Senior Analyst,SQL,Medium,Write a SQL query to find the second highest salary in each department.,Use DENSE_RANK() OVER(PARTITION BY dept ORDER BY salary DESC) = 2.,Yes,
MiQ,Marketing Analytics,Senior Analyst,Python,Medium,How do you reverse a string in Python without using built-in functions?,Use slicing [::-1] or a loop. Explain complexity.,Yes,
Vodafone-Idea,Telecom,Data Analyst,Product,Medium,What are your suggestions to improve the official VI (Vodafone Idea) website?,"Analyze UI/UX, page load speeds, ease of recharge flow, or clarity of plans. Suggest data-driven enhancements like personalized plan recommendations.",Yes,
Vodafone-Idea,Telecom,Data Analyst,Behavioral,Medium,Tell us about your biggest failure and what you learned from it.,Use the STAR method. Focus on the lesson learned and how you've applied it to subsequent projects to avoid similar mistakes.,Yes,
Vodafone-Idea,Telecom,Data Analyst,Strategy,Medium,"Which vertical within Vi would you prefer working in (Digital, Tech, Enterprise, etc.), and why do you think you are suitable for it?","Connect your background (e.g., tech experience to Tech/Enterprise) with Vi's business goals in that sector.",Yes,
Vodafone-Idea,Telecom,Data Analyst,Behavioral,Medium,What three things (good and bad) would your previous manager say about you?,"Be honest but professional. For weaknesses, show how you are actively working on them using the 'sandwich' method (positive-negative-positive).",Yes,
Vodafone-Idea,Telecom,Data Analyst,Technical,Medium,"Which tech tools and AI models are you familiar with, and how have you applied them in your analytics projects?","Mention specific libraries (Pandas, Scikit-learn) or models (Regression, Transformers) and link them to a specific project outcome.",Yes,
Vodafone-Idea,Telecom,Data Analyst,Behavioral,Medium,What would you do if you don't understand the background of a project you've been assigned?,"Focus on proactive research, asking clarifying questions to stakeholders, and looking at legacy documentation.",Yes,
Vodafone-Idea,Telecom,Data Analyst,General Awareness,Medium,What recent news have you heard about Vodafone-Idea (Vi) in the market?,"Mention debt restructuring, 5G rollouts, subscriber trends, or recent funding rounds to show industry awareness.",Yes,
Vodafone-Idea,Telecom,Data Analyst,Behavioral,Medium,How do you handle situations where you are proven wrong or make a mistake at work?,"Demonstrate accountability, immediate communication of the error, and a plan to rectify it while ensuring it doesn't happen again.",Yes,
Vodafone-Idea,Telecom,Data Analyst,Behavioral,Medium,Why should we hire you? How are you better than other candidates?,"Highlight your unique combination of technical skills (Analytics) and business acumen, backed by specific project achievements.",Yes,
Vodafone-Idea,Telecom,Data Analyst,Technical,Medium,Explain a situation where you faced a challenge while working in a team. How did you deal with it?,"Focus on communication, conflict resolution, or workload management using the STAR method.",Yes,
Moody's,Finance,Structured Finance,Structured Finance,Medium,"What is Securitization and how do Asset-Backed Securities (ABS) and Mortgage-Backed Securities (MBS) differ?","Securitization is the process of pooling assets into tradable securities. ABS are backed by assets like auto loans, while MBS are backed by mortgages. SPVs are used to issue these.",Yes,
Moody's,Finance,Structured Finance,Structured Finance,Hard,"Explain the concept of 'Tranches' in structured finance and how they relate to credit ratings.","Tranching divides a pool of securities into risk levels: Senior, Mezzanine, and Equity. Senior tranches have higher ratings due to priority of payment.",Yes,
Moody's,Finance,Structured Finance,Finance,Medium,"How does an increase in the Repo Rate affect bond prices and inflation?","Bond prices have an inverse relationship with rates; as repo rates rise, bond prices fall. Higher rates also help control inflation by reducing spending.",Yes,
Moody's,Technical,Structured Finance,SQL,Medium,What is the difference between the WHERE and HAVING clauses in SQL?,"WHERE filters rows before grouping, while HAVING filters results after the GROUP BY clause has been applied.",Yes,
Moody's,Technical,Structured Finance,SQL,Hard,Explain the difference between the RANK() and DENSE_RANK() window functions.,"RANK() skips the next rank in the sequence if there is a tie, while DENSE_RANK() provides a continuous sequence with no gaps.",Yes,
Moody's,Finance,Structured Finance,Finance,Medium,Explain the difference between Liquidity Ratios and Solvency Ratios.,"Liquidity ratios measure short-term obligation capacity, while solvency ratios measure long-term stability and debt sustainability.",Yes,
Moody's,Finance,Structured Finance,Finance,Medium,What is WACC (Weighted Average Cost of Capital) and its significance?,"WACC is the average rate a company pays for its capital (debt + equity). It's a key metric for assessing a firm's financing costs and earnings coverage.",Yes,
Moody's,Technical,Structured Finance,Python,Medium,Which Python libraries are essential for financial data analysis?,"Pandas for data manipulation, NumPy for numerical work, Scikit-learn for modeling, and Matplotlib for visualization.",Yes,
Moody's,Finance,Structured Finance,Behavioral,Easy,Why is a borrower's CIBIL score critical for credit risk assessment?,"The CIBIL score summarizes credit history. A high score signifies lower default risk, leading to better loan terms.",Yes,
Moody's,Analytics,Structured Finance,General,Medium,How might Generative AI impact the credit rating industry?,"GenAI can automate document parsing, speed up report drafting, and improve data extraction, though it requires human validation.",Yes,
Moody's,Finance,Structured Finance,Finance,Medium,"Beyond financial ratios, what qualitative factors does an analyst look at to determine the creditworthiness of a company?","Include management quality, industry competitive position, regulatory environment, and macroeconomic conditions.",Yes,
Moody's,Finance,Structured Finance,Finance,Medium,"What is a FICO score, and how does it differ from a corporate credit rating in the context of structured finance?","FICO is for individuals' credit risk. Corporate ratings (like Moody's Baa) assess a business's ability to meet debt obligations.",Yes,
Moody's,Finance,Structured Finance,Finance,Medium,"What is the fundamental difference between 'Equity' and 'Capital Employed'? How does this affect the ROI (Return on Investment) calculation?","Equity is owner's funds. Capital Employed is Equity + Long-term Debt. ROI compares earnings to total Capital Employed.",Yes,
Moody's,Finance,Structured Finance,Finance,Medium,"How do Treasury Bonds (G-Secs) impact the yield curve, and what is their relationship with market interest rates?","T-Bonds are risk-free benchmarks. Higher interest rates typically lead to lower bond prices and a shift in the yield curve.",Yes,
Moody's,Technical,Structured Finance,SQL,Medium,"Explain a scenario where a SELF JOIN is required. How would you use it to find a hierarchy in a data table?","Self-joins are used when a table has a recursive relationship, like an 'Employee' table with a 'ManagerID' column pointing to the same table.",Yes,
Moody's,Technical,Structured Finance,Technical,Medium,"How does the MATCH function work in Excel, and why is it often preferred over VLOOKUP when combined with INDEX?","MATCH returns the position of a value. INDEX+MATCH is more flexible than VLOOKUP as it can look left and is less prone to errors when columns change.",Yes,
Moody's,Technical,Structured Finance,Python,Medium,"How do you handle memory issues when importing extremely large CSV or Excel files into a Pandas DataFrame?","Use 'chunking' (n_rows), specify data types (dtypes), or use specialized formats like Parquet/HDF5.",Yes,
Moody's,Technical,Structured Finance,Technical,Medium,"You have 'R' mentioned in your resume; in which financial modeling scenarios would you prefer R over Python?","R is excellent for deep statistical analysis and academic research, while Python is typically better for production-ready machine learning.",Yes,
Moody's,Finance,Structured Finance,Finance,Medium,"Compare LIFO and FIFO inventory methods. Which one results in a higher net income during a period of rising inflation?","FIFO results in higher net income during inflation because older (cheaper) inventory cost is matched against current revenue.",Yes,
Moody's,Finance,Structured Finance,Finance,Medium,"Walk me through the calculation of the Present Value (PV) of a 5-year structured loan with varying interest rates?","PV = Sum of [Future Cash Flow / (1+r)^t] where 'r' is the discount rate for each specific period 't'.",Yes,
Moody's,Technical,Structured Finance,Technical,Medium,"If a principal doubles in 5 years at Simple Interest, how long will it take to quadruple at the same rate?","Principal doubles in 5 years means Interest = Principal in 5 years. For it to quadruple, Interest = 3 * Principal, which takes 3 * 5 = 15 years.",Yes,
Moody's,Finance,Structured Finance,Finance,Medium,"Gold prices are currently rising globally. What are the macroeconomic reasons behind this trend?","Gold is a safe-haven asset. Rising prices often signal economic uncertainty, high inflation, or geopolitical tensions.",Yes,
Moody's,Finance,Structured Finance,Finance,Medium,"What is the basic difference between a 'Call Option' and a 'Put Option' in a hedging strategy?","A Call Option gives the right to buy; a Put Option gives the right to sell. Puts are used to hedge against price drops.",Yes,
