Company,Domain,Role,Topic,Difficulty,Question,Ideal_Approach,Asked_In_BITS
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,"Tell me about a time you used data to solve a business problem.","Example can be from healthcare, finance, or any complex domain.",Yes
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,"Tell me about yourself.","Tailor the introduction to a startup/agile environment.",Yes
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.","Focus on hard skills and tangible outputs.",Yes
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,"What are your long-term career goals in analytics?","Discuss becoming an expert in data products or strategy.",Yes
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,"What motivates you to work in the analytics field?","Passion for problem-solving and finding patterns.",Yes
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,"Why MBA?","To understand the business side of technology.",Yes
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,"Why are you interested in our company and this role?","Research what Kyoren Labs does and express genuine interest.",Yes
Kyoren Labs,Healthcare,Business Analyst Intern,Behavioral,Medium,"Why did you choose Business Analytics as your specialization?","To leverage data for smarter business decisions.",Yes
LenDen Club,Healthcare,Business Analyst Intern,Behavioral,Medium,"Describe a challenging project and how you overcame obstacles.","STAR method. Emphasize analytical problem-solving.",Yes
LenDen Club,FinTech,Data Science Intern, Marketing Intern, Product Intern,Behavioral,Medium,"How do you handle working with cross-functional teams?","Focus on collaboration in a fast-paced fintech environment.",Yes
LenDen Club,FinTech,Data Science Intern, Marketing Intern, Product Intern,Behavioral,Medium,"Tell me about a time you used data to solve a business problem.","Provide a strong example of data influencing a key decision.",Yes
LenDen Club,FinTech,Data Science Intern, Marketing Intern, Product Intern,Behavioral,Medium,"Tell me about yourself.","Pitch yourself as a data-savvy business student.",Yes
LenDen Club,FinTech,Data Science Intern, Marketing Intern, Product Intern,Behavioral,Medium,"Walk me through your resume, focusing on analytics or data-driven projects.","Deep dive into one or two key projects.",Yes
LenDen Club,FinTech,Data Science Intern, Marketing Intern, Product Intern,Behavioral,Medium,"What are your long-term career goals in analytics?","Align with the growth of fintech and data science.",Yes
LenDen Club,FinTech,Data Science Intern, Marketing Intern, Product Intern,Behavioral,Medium,"What motivates you to work in the analytics field?","The opportunity to drive innovation and efficiency.",Yes
LenDen Club,FinTech,Data Science Intern, Marketing Intern, Product Intern,Behavioral,Medium,"Why MBA?","To gain strategic vision alongside technical skills.",Yes
LenDen Club,FinTech,Data Science Intern, Marketing Intern, Product Intern,Behavioral,Medium,"Why are you interested in our company and this role?","Discuss LenDen Club's peer-to-peer lending model and growth.",Yes
LenDen Club,FinTech,Data Science Intern, Marketing Intern, Product Intern,Behavioral,Medium,"Why did you choose Business Analytics as your specialization?","To be at the forefront of financial technology innovation.",Yes
