Company,Domain,Role,Topic,Difficulty,Question,Ideal_Approach,Asked_In_BITS
HSBC,Finance,Analyst,Finance,Medium,Explain the Cash Conversion Cycle formula and its interpretation.,Days Inventory Outstanding + Days Sales Outstanding - Days Payable Outstanding.,Yes
HSBC,Finance,Analyst,Finance,Medium,List the fundamental Principles of Accounting.,"Mention accrual, consistency, prudence, going concern, entity concept.",Yes
HSBC,Consulting,Analyst,Guesstimate,Medium,Estimate the number of Two-Wheelers sold annually in India.,Population -> Target Segment -> Income Levels -> Replacement vs New Demand.,Yes
HSBC,General,Analyst,Behavioral,Medium,How do you measure the performance of a team or individual in banking operations context?,"Mention KPIs like accuracy, turnaround time (TAT), customer satisfaction, and error rates.",Yes
HSBC,Finance,Analyst,Finance,Medium,What metrics indicate effective revenue generation for a bank?,"NIM (Net Interest Margin), Fee-based income, Loan book growth, CASA ratio.",Yes
HSBC,Product,Analyst,Product Management,Medium,Explain the concept of 'Share of Wallet' in banking.,Percentage of a customer's total spend/assets held with us vs competitors.,Yes
HSBC,General,Analyst,General Awareness,Medium,What are the key products offered by HSBC?,"Retail Banking, Wealth Management, Commercial Banking, Global Banking & Markets.",Yes
HSBC,Finance,Analyst,Finance,Medium,What is the difference between Market Risk and Credit Risk?,Market: Losses due to market factor movements. Credit: Default by counterparty.,Yes
HSBC,Analytics,Analyst,General Awareness,Medium,Is AI a job creator or a job destroyer?,"Discuss automation vs augmentation, new roles created (ML Ops) vs redundant routine tasks.",Yes
HSBC,Finance,Analyst,Finance,Medium,Differentiate between Systematic and Unsystematic Risk.,Systematic: Market-wide (non-diversifiable). Unsystematic: Company-specific (diversifiable).,Yes
HSBC,Analytics,Analyst,SQL,Medium,Explain the concept of Binning in SQL.,Using CASE statements to categorize continuous variables into groups.,Yes
HSBC,Analytics,Analyst,Python,Medium,How do you access the 5th row and 3rd column of a dataframe in Pandas?,"df.iloc[4, 2]",Yes
HSBC,Analytics,Analyst,Python,Medium,How do you append two dataframes in Python?,"pd.concat([df1, df2]) or df1.append(df2) (deprecated).",Yes
HSBC,Analytics,Analyst,Python,Medium,What happens to the columns if you join a dataframe with 5 columns and another with 7 columns?,"Depends on join type, generally 5+7 = 12 columns if no overlap/suffix handling.",Yes
HSBC,Finance,Analyst,Finance,Medium,What are Derivatives in finance?,"Contracts deriving value from underlying assets (Options, Futures, Swaps).",Yes
HSBC,Finance,Analyst,Finance,Medium,Why is a Mutual Fund called 'Mutual'?,Pooled money from many investors mutually shared for returns/risks.,Yes
Kyoren Labs,Healthcare,Business Analyst,Strategy,Medium,"Situation: How would you approach a new product launch from a data collection and strategy standpoint?","Define KPIs -> Identify Data Sources (Primary/Secondary) -> Set up Tracking (Google Analytics/Mixpanel) -> Feedback Loop strategy.",Yes
Kyoren Labs,Healthcare,Business Analyst,Strategy,Medium,"Develop a pricing strategy for new skin care products using industry analysis.","Competitor Price Benchmarking -> Cost-Plus vs Value-Based Pricing -> Psychology of pricing (premium vs mass market).",Yes
LenDen Club,Product Management,Product Intern,Technical,Medium,"What are the top 3 features of your most used app, and what improvements would you suggest?","Product Critique Framework: Define the app, user persona, and goal. Analyze features (pros/cons). Suggest metric-driven improvements.",Yes
LenDen Club,Product Management,Product Intern,Technical,Medium,"Identify potential users for this app (apart from you) and how you would solve their problems.","User Segmentation: Demographic/Psychographic. Pain point analysis. Solutioning with feature mapping.",Yes
LenDen Club,Product Management,Product Intern,Behavioral,Medium,"What do you think a Product Manager's day-to-day looks like?","Mention mix of: Standups, Stakeholder communication (Eng/Design), Data analysis, User research, and Documentation (PRDs).",Yes
LenDen Club,Digital Marketing,Marketing Intern,Technical,Easy,"What is a backlink?","A link from one website to another. Crucial for SEO authority and ranking.",Yes
LenDen Club,Digital Marketing,Marketing Intern,Technical,Medium,"What is SEO and what are some popular tools?","SEO: Optimizing visibility. Tools: SEMrush, Ahrefs, Google Search Console, Moz.",Yes
MiQ,Consulting & Data Science,Decision Science Consulting Intern,Technical Assessment,, Python 2 Basic DSA Questions on BFS/DFS,Answered accordingly,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment,, SQL MCQ Questions,Answered accordingly,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment,, Basic Statistics & Aptitude Questions,Answered accordingly,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Walk me through your work ex,Explained Work ex in detail,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Walk me through your projects,Explained projects in detail,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Ola's Business is stagnating. How would you revive it.,Did data analysis and general discussion,
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,, Walk me through your projects,Explained projects in detail,
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,," Here is this product (shows image), how would you advertise it?",Applied S.T.P Framework to answer,
MiQ,Marketing Analytics,Senior Analyst,Managerial Interview,," Here is this product (shows other image), how would you advertise?",Applied S.T.P Framework,
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, Explain any Conflict of Interest Situation,Answered,
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, Who is your source of Inspiration?,Answered,
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, Any role where you had to take a leadership position,Answered,
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, What made you interested in applying for MIQ,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical test,, Python: Write code,Wrote code,
MiQ,Marketing Analytics,Senior Analyst,Technical test,, Python: Questions based on Dictionary,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical test,, SQL: Questions based on Window Functions,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical test,, Statistics: Find out the variance,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical test,, Statistics: Multicollinearity,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical test,, Logical Reasoning questions,Answered,
MiQ,Marketing Analytics,Senior Analyst,Cognitive Test,, Find the odd man out,Answered,
MiQ,Marketing Analytics,Senior Analyst,Cognitive Test,, Complete the sequence,Answered,
MiQ,Marketing Analytics,Senior Analyst,Cognitive Test,, Describe the images,Answered,
MiQ,Marketing Analytics,Senior Analyst,Cognitive Test,, Describe the video,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Question about my day and education,Told,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,," Questions about the test, basically more about stats",Told,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,," SQL Query writeups (one basic, 2 window based)",Difficulty with one window function ques,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,,Guesstimate: iPhone sales in China,I reached to the conclusion of 1M,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,,Python Questions like difference between 5/2 and 5//2,"Struggled; no deep Python background, just analytics",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,,"Write SQL queries (joins, filtering, grouping, aggregation)","Explained and demonstrated various joins, WHERE, GROUP BY, etc.",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,, LinkedIn Club funnel conversion rate improvement method,"Outlined root-cause analysis, RICE framework usage, implemented changes",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,,(Python): Write code to reverse a string and to find the most frequent word in a given sentence.,For string reversal: slicing method (string[::-1]); for frequent word: Python�s collections.Counter class,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,," (Statistics): Explain difference between mean, median, mode, define standard deviation, effect of shifting dataset","Mean is average, median is middle value, mode is most frequent; standard deviation measures spread, shifting data affects mean, not variance or SD",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,,(Analytical Thinking): Suppose I want to launch a new feature. How would you approach it?,"Define objective/success, research user insights, prioritize (RICE), MVP design, and plan A/B testing",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,, (Guesstimate): Estimate t-shirts sold on Amazon in Bangalore,"Segmented by population, online shoppers, Amazon share, category, frequency; arrived at ballpark estimate",
MiQ,Marketing Analytics,Senior Analyst,Technical Round 2,," (SQL): Write queries (joins, LEAD/LAG, cumulative sum)","Explained different joins, used window functions, demonstrated cumulative SUM()",
MiQ,Marketing Analytics,Senior Analyst,Technical Round 2,, (SQL � Conceptual): Prove Outer Join + Inner Join = Left Join + Right Join.,Proved using Venn diagram set representation,
MiQ,Marketing Analytics,Senior Analyst,Technical Round 2,, (Python): What is the difference between NumPy and Pandas?,"NumPy for numerical arrays/matrices; Pandas for tabular, structured data (DataFrames/Series)",
MiQ,Marketing Analytics,Senior Analyst,Technical Round 2,,(Python Workflow): How would you analyze a large-scale dataset?,"Define problem, clean data, handle nulls, perform EDA before modeling",
MiQ,Marketing Analytics,Senior Analyst,Technical Round 2,, (Python Data Handling): Convert categorical to numerical data,"Explained One-Hot Encoding, label encoding, and embeddings",
MiQ,Marketing Analytics,Senior Analyst,Technical Round 2,, (Evaluation Metrics): How do you evaluate model performance?,"Use confusion matrix, derive accuracy, precision, recall, F1-score",
MiQ,Marketing Analytics,Senior Analyst,Technical Round 2,," (Career Aspirations): 5-year plan, Product vs Data Analyst","Expressed interest in Product Analyst role, open to Senior Analyst as foundation",
MiQ,Marketing Analytics,Senior Analyst,Technical Round 2,," (Time Series): Explain ARIMA, SARIMA, GARCH","ARIMA � stationary, SARIMA � seasonal, GARCH � volatility modeling",
MiQ,Marketing Analytics,Senior Analyst,Technical Round 2,," (ARIMA Details): What do P, D, Q stand for?","P: autoregressive order, D: differencing order, Q: moving average order",
MiQ,Marketing Analytics,Senior Analyst,Technical Round 2,, (Managerial): Why choose MBA in Business Analytics?,"Described aligning business/data skills, career goals toward Product Analyst",
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, Why do you want to be a Senior Analyst at MIQ?,"Explained interest in analytics and business value, highlighted fit for MIQ",
MiQ,Marketing Analytics,Senior Analyst,HR Interview,,What do you know about MIQ? How did you hear about MIQ?,"Explained MIQ�s advertising/data, learned via placement, networking",
MiQ,Marketing Analytics,Senior Analyst,HR Interview,,Are you excited about joining MIQ?,"Yes, described company�s reputation and fit with career aspirations",
MiQ,Marketing Analytics,Senior Analyst,HR Interview,,Define yourself in three words,"confident, adaptative, patient",
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, How do you make time for other activities?,"Manages time, prioritizes, shared experience (silver medal won)",
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, Handling high-priority work and other tasks,"Reprioritize, communicate clear, focus on critical first, efficient planning",
MiQ,Marketing Analytics,Senior Analyst,HR Interview,, Which web series are you watching lately?,"Shared series, made interview conversational",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,, You are given a table containing data of students and another table having data of new students. Identify the names of students who belong to Section A.,"I wrote an SQL query using a subquery to identify the names of students belonging to Section A. Using those names, I picked out the matching records from the parent table.",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,, There are two tables � Orders and Customers. Find the customer name and the time of their first purchase.,"I solved this using the RANK() function. I ranked the dates in ascending order, partitioned by customer, and used LIMIT 1 to select the first purchase date for each customer.",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,, Python question: Reverse a string.,Str[::-1],
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,, SQL: Group the data and then filter rows using HAVING clause.,I wrote an SQL query using GROUP BY and applied the HAVING clause to filter aggregated results.,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,," Ten features for an app, limited time. How to handle?","Used the MoSCoW method (Must have, Should have, Could have, Won�t have) to prioritize features based on business value and time constraints.",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,, Estimate iPhones sold in China.,"Segmented population by rural/urban, age groups, applied �brand love� matrix, calculated share leaning toward iPhone�reached estimate using structured approach.",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 1,, Explain work experience.,Explained work experience and answered follow-up questions about projects and responsibilities.,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 2,, Introduce yourself.,"Gave brief background about education, skills, and work experience.",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 2,, Explain work experience.,Explained experience in detail and responded to counter-questions about responsibilities and learnings.,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 2,, Ola�s revenue is decreasing; provided dataset. Main reason and suggestions?,"Identified cancellation hotspots and peak hours to improve cab frequency and customer satisfaction, suggested ways to increase revenue.",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 2,, Count number of items using Python.,Used collections.Counter to count item frequencies.,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 2,, Difference between NumPy and Pandas?,"NumPy for numerical computations/homogeneous data, Pandas for tabular/heterogeneous data manipulation, handling missing values.",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 2,, Difference between List and Tuple in Python?,"Lists are mutable, Tuples are immutable.",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 2,, Convert categorical values to numerical values?,Explained One-Hot Encoding and other methods based on types and use case.,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview Round 2,, Multiple SQL (2�3) and Python (1�2) questions.,Wrote queries and solved all problems given.,
MiQ,Marketing Analytics,Senior Analyst,HR Interview Round,, Introduce yourself.,"Introduced academic background, work experience, MBA specialization.",
MiQ,Marketing Analytics,Senior Analyst,HR Interview Round,, Swap position with anyone�who and why?,"Chose Prime Minister of India; inspired by leadership and welfare-oriented decisions, bold decision-making.",
MiQ,Marketing Analytics,Senior Analyst,HR Interview Round,, Why do you want to join our company?,"Prior analytics experience, seeking growth and leadership in analytics via MIQ, eager to drive initiatives and align goals with organization�s vision.",
MiQ,Marketing Analytics,Senior Analyst,HR Interview Round,, Why pursue MBA?,"Wanted to expand skills, increase opportunities, MBA in analytics provides both technical and managerial growth.",
MiQ,Marketing Analytics,Senior Analyst,HR Interview Round,, Any questions for us?,Asked about how AI is being leveraged at MIQ Digital.,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment,, Python Question- Find the output,Wrote python code as per instructions and found the expected output,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment,, SQL MCQ/Window Function,Answered the MCQ and wrote a SQL query using window function,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment,, Statistics/Variance,Explained the concept of variance and methods for calculating it,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Explain about your project experience and learnings,"Discussed past analytics projects, explaining impact, learning, and problem-solving applied in each",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Guesstimate- Ola cab rides/daily city,Used segmentation logic for estimating daily cab rides in the city,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,," SQL Query using join, subquery, ranking",Constructed a SQL query with JOIN and used ranking/window functions to solve,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Product improvement for an app,Proposed app feature enhancements and explained steps for roll-out/impact measurement,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Python: Write code for reversing string,Used slicing operation (string[::-1]) and explained logic,
MiQ,Marketing Analytics,Senior Analyst,Managerial/HR Interview,, Why do you want to join MIQ?,Shared alignment with MIQ�s data-driven roles and my analytics/business background,
MiQ,Marketing Analytics,Senior Analyst,Managerial/HR Interview,, Tell me about a time you worked under a deadline,Shared a deadline-driven project experience describing approach and outcome,
MiQ,Marketing Analytics,Senior Analyst,Managerial/HR Interview,, How do you handle feedback and failure?,Described taking feedback as constructive and shared example of turning failure into learning,
MiQ,Marketing Analytics,Senior Analyst,Managerial/HR Interview,, Any questions for us?,Asked about organization�s learning and growth opportunities,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment,, Python MCQ/Code,Answered Python MCQ and wrote code as per requirements,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment,, SQL MCQ/Window Functions,Solved SQL MCQ and wrote query using window functions,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment,," Statistics Concepts: Variance, mean, median",Explained each statistic and solved calculation-based question,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Work experience and projects,"Discussed major analytics projects, responsibilities, and impact",
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, SQL Join-based query,Wrote a multi-table SQL query with join and explained all steps,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Product improvement for an e-commerce app,Proposed UI/feature improvements and explained decision logic,
MiQ,Marketing Analytics,Senior Analyst,Technical Interview,, Python question: Find palindromes in a list,"Wrote a function, explained use of string reversal and conditionals",
MiQ,Marketing Analytics,Senior Analyst,HR/Managerial Interview,, Why MIQ?,Discussed interest in analytics and MIQ�s global presence and culture,
MiQ,Marketing Analytics,Senior Analyst,HR/Managerial Interview,, Handling conflicts and feedback,Shared specific example and approach to resolving stakeholder conflict,
MiQ,Marketing Analytics,Senior Analyst,HR/Managerial Interview,, Tell me about a time you worked in a team,Shared experience with teamwork and result,
MiQ,Marketing Analytics,Senior Analyst,HR/Managerial Interview,, Any questions for us?,Asked about company vision and future plans,
MiQ,Marketing Analytics,Senior Analyst,Technical Round,,Asked about Work ex in JSW Steel,Explained,
MiQ,Marketing Analytics,Senior Analyst,Technical Round,,Tell me about Yourself,Told,
MiQ,Marketing Analytics,Senior Analyst,Technical Round,, Asked about any one of the project mentioned,"Told about the GARCH(1,1) project",
MiQ,Marketing Analytics,Senior Analyst,Technical Round,,"Asked about GARCH(1,1) Model",Explained,
MiQ,Marketing Analytics,Senior Analyst,Technical Round,,Asked to correct the SQL code in earlier assessment,Done,
MiQ,Marketing Analytics,Senior Analyst,Technical Round,,Difference between numpy and pandas,Told,
MiQ,Marketing Analytics,Senior Analyst,Technical Round,,What is time series,Told,
MiQ,Marketing Analytics,Senior Analyst,Technical Round,, What is difference between SARIMA and Holt's Winter?,Told,
MiQ,Marketing Analytics,Senior Analyst,Managerial Round,, Root cause + measures?,Gave 5 solutions,
MiQ,Marketing Analytics,Senior Analyst,Managerial Round,,"Guesstimate: Kissan Jam launching Mango Jam, strategy to market it",Answered,
MiQ,Marketing Analytics,Senior Analyst,Managerial Round,,Why do you want to work at MiQ?,Answered,
MiQ,Marketing Analytics,Senior Analyst,Managerial Round,, Are you comfortable with that?,Answered,
MiQ,Marketing Analytics,Senior Analyst,Managerial Round,,How comfortable are you with PySpark?,Told,
MiQ,Marketing Analytics,Senior Analyst,HR Round,, Tell me about Yourself,Answered,
MiQ,Marketing Analytics,Senior Analyst,HR Round,,What was your greatest achievement in past one year?,Answered,
MiQ,Marketing Analytics,Senior Analyst,HR Round,, How will you handle when any person in your team disagrees with your idea?,Answered,
MiQ,Marketing Analytics,Senior Analyst,HR Round,, What message would you like to give to your juniors?,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Online,, Write a Python code to get Excel column number from name,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Online,," Write Python code: shortest distance in tree with parent n, children 2n, 2n+1",Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Online,," Python, Statistics, DILR, SQL MCQs",Answered,
MiQ,Marketing Analytics,Senior Analyst,Cognitive Ability Assessment,," Find the odd pattern out (25 questions, each 3 seconds)",Answered,
MiQ,Marketing Analytics,Senior Analyst,Cognitive Ability Assessment,," Pattern matching (15 questions, each 5 seconds)",Answered,
MiQ,Marketing Analytics,Senior Analyst,Cognitive Ability Assessment,, Image - Perception in words,Answered,
MiQ,Marketing Analytics,Senior Analyst,Cognitive Ability Assessment,, Video - Perception in words,Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Offline,," Write about Standard Deviation, Mean, Mode, and Median in plain English",Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Offline,," Couple of aptitude questions: Speed and Time, Profit and Loss, etc.",Answered,
MiQ,Marketing Analytics,Senior Analyst,Technical Assessment Offline,," Python, Statistics, and SQL MCQs",Answered,
MiQ,Marketing Analytics,Senior Analyst,Interview Round 1,, Why Analytics from Core Development (previous work ex)? Why not Product?,Answered,
MiQ,Marketing Analytics,Senior Analyst,Interview Round 1,, Tell me all about yourself (elaborate),Answered,
MiQ,Marketing Analytics,Senior Analyst,Interview Round 1,, What do you do outside college/interviews?,Answered,
MiQ,Marketing Analytics,Senior Analyst,Interview Round 1,, What Python packages do you work with?,Answered,
MiQ,Marketing Analytics,Senior Analyst,Interview Round 1,," Numpy vs Pandas, Matplotlib vs Plotly",Answered,
MiQ,Marketing Analytics,Senior Analyst,Interview Round 1,, Decompose Time Series,Answered,
MiQ,Marketing Analytics,Senior Analyst,Interview Round 1,, Difference between Seasonality and Cyclicity (Example),Answered,
MiQ,Marketing Analytics,Senior Analyst,Interview Round 1,, Guesstimate,Answered,
MiQ,Marketing Analytics,Senior Analyst,Interview Round 2,, SQL code for given data/question (3�5 questions),Answered,
MiQ,Marketing Analytics,Senior Analyst,Interview Round 2,, How do you reverse a string in Python?,Answered,
MiQ,Marketing Analytics,Senior Analyst,Interview Round 2,, Guesstimates (8�10 questions),Answered,
MiQ,Marketing Analytics,Senior Analyst,Interview Round 2,, Explain insights from your projects,Answered,
